pop1	pop2	pop3	pop4	f4	se	z	p	phase	description	usable
ITALY_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T2	0.00047510244113157	5.24072037839095e-05	9.06559417080443	1.23926960272903e-19	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T3	-0.000126314633443021	5.52252954724647e-05	-2.28726043676853	0.0221806262707586	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T4	-5.91274378124696e-06	4.99387299696047e-05	-0.11839996301159	0.905750755085685	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	GREECE_T0	8.68303035679084e-06	5.9762452805987e-05	0.145292402655886	0.884480012880112	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T1	AFRICA_W_T0	IBERIA_T2	GREECE_T1	0.000172437447322814	5.42362844242077e-05	3.17937427228788	0.00147593382492663	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	GREECE_T2	-0.000207008099038963	5.42893715605046e-05	-3.81305019912149	0.000137262219419637	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	LEVANT_T0	0.000377548204404219	5.38853939497298e-05	7.00650355746564	2.44347351199435e-12	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	LEVANT_T1	0.000105112755611158	5.2963355452062e-05	1.98463172723823	0.0471854597516404	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	LEVANT_T2	-0.000169800028622897	5.11386162821443e-05	-3.32038762421863	0.000898925408283475	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T1	AFRICA_W_T0	IBERIA_T2	LEVANT_T3	-2.40063756493849e-05	4.94649665610856e-05	-0.485320769796514	0.627448824622177	C_reverse	f4(ITALY_T1, Africa; IBERIA_T2, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T0	0.000482763267173912	4.98571444612581e-05	9.68293054868088	3.56352039026951e-22	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T1	0.000277896088356045	4.80259312636591e-05	5.78637583996891	7.19212010580075e-09	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, EUROPE_NW_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T2	-0.000401852606706328	5.30361277073929e-05	-7.57695978340275	3.53746375289898e-14	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T3	-0.00466675964918429	0.000195770348285373	-23.837928930798	1.35105710839684e-125	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T4	-0.00352714914598034	0.000157891985818612	-22.3390004736046	1.54460745407609e-110	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	GREECE_T0	-0.00459666136603026	0.000191087766856806	-24.0552361966469	7.35832903969869e-128	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T2	AFRICA_W_T0	IBERIA_T0	GREECE_T1	-0.00156523378577287	8.69099808026725e-05	-18.0098277702615	1.63135335045176e-72	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	GREECE_T2	-0.00437625157873873	0.000179153015853332	-24.4274513487479	8.7396902698012e-132	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	LEVANT_T0	-0.000608834498040795	6.150006334987e-05	-9.89973773810889	4.17368088996436e-23	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	LEVANT_T1	-0.00125930380062745	7.13061182893198e-05	-17.660529430559	8.4443889142507e-70	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	LEVANT_T2	-0.00284681904816784	0.000129772683883858	-21.9369667249515	1.15342231227462e-106	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T0	LEVANT_T3	-0.00387827405991278	0.000163614348360661	-23.703752750118	3.29830154397573e-124	C_reverse	f4(ITALY_T2, Africa; IBERIA_T0, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T0	0.000529956200114891	3.93368303904678e-05	13.4722649195272	2.27770333789309e-41	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T1	0.000325089021297024	3.86247677822542e-05	8.41659484219302	3.87585244755097e-17	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, EUROPE_NW_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T2	-0.000354659673765348	5.7697388545042e-05	-6.14689299999219	7.90153921583696e-10	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T3	-0.00461956671624331	0.000196639480578443	-23.4925697660215	4.85828216501206e-122	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T4	-0.00347995621303937	0.000157745434556707	-22.0605827535908	7.56026477703703e-108	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	GREECE_T0	-0.00454946843308927	0.000191768801571848	-23.7237152018431	2.05275858649102e-124	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T2	AFRICA_W_T0	IBERIA_T1	GREECE_T1	-0.00151804085283189	9.52330599665199e-05	-15.9402717225045	3.32903125358153e-57	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	GREECE_T2	-0.00432905864579775	0.000179534304201291	-24.112710186818	1.83905636182471e-128	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	LEVANT_T0	-0.000561641565099816	6.88738355727254e-05	-8.15464334793387	3.50211809337015e-16	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	LEVANT_T1	-0.00121211086768647	7.7779434611103e-05	-15.5839506129998	9.3587597216054e-55	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	LEVANT_T2	-0.00279962611522686	0.00013393466781285	-20.9029234995293	5.03640477781026e-97	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T1	LEVANT_T3	-0.00383108112697179	0.000165413859992078	-23.1605811457109	1.13732924330242e-118	C_reverse	f4(ITALY_T2, Africa; IBERIA_T1, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T0	0.00317376865109565	0.000131849373214427	24.0711698032431	5.01162079786468e-128	C_reverse	f4(ITALY_T2, Africa; IBERIA_T2, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T2	AFRICA_W_T0	IBERIA_T2	EUROPE_NW_T1	0.00296890147227778	0.000132178236252955	22.4613488304993	9.91327761965059e-112	C_reverse	f4(ITALY_T2, Africa; IBERIA_T2, EUROPE_NW_T1) [Italy→Iberia?]	YES
