sample_id	custom_pop_label	group_id	region	layer	qc
NBR010.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR011.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR012.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR013.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR014.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR015.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR016.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR017.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR018.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR019.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR020.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR021.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_EarlyModern	OUTGROUP	T0	PROVISIONAL_PASS
NBR022.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR023.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR024.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR025.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
NBR026.AG	OUTGROUP_T0	PapuaNewGuinea_Nebira_LateMedieval	OUTGROUP	T0	PROVISIONAL_PASS
TIL001.AG	OUTGROUP_T0	PapuaNewGuinea_Tilu_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
TIL004.AG	OUTGROUP_T0	PapuaNewGuinea_Tilu_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
WAT001.AG	OUTGROUP_T0	PapuaNewGuinea_ReberRakival_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
WAT002.AG	OUTGROUP_T0	PapuaNewGuinea_ReberRakival_IA	OUTGROUP	T0	PROVISIONAL_PASS
WAT003.AG	OUTGROUP_T0	PapuaNewGuinea_ReberRakival_Medieval	OUTGROUP	T0	PROVISIONAL_PASS
