sample_id	master_id	group_id	population	region	subregion	layer	role
HG01840.DG	HG01840	KHV	KHV	OUTGROUP	SE_Asia	T0	OUTGROUP
NA18877.DG	NA18877	YRI	YRI	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA18878.DG	NA18878	YRI	YRI	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA19648.DG	NA19648	MXL-oEurope	MXL-oEurope	OUTGROUP	Americas	T0	OUTGROUP
NA19649.DG	NA19649	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA11893.DG	NA11893	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA11894.DG	NA11894	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA19017.DG	NA19017	Luhya	Luhya	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19019.DG	NA19019	Luhya	Luhya	EAST_AFRICA	East_Africa	T0	OUTGROUP
HG03714.DG	HG03714	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03716.DG	HG03716	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG02471.DG	HG02471	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG02476.DG	HG02476	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG00531.DG	HG00531	CHS-o	CHS-o	OUTGROUP	East_Asia	T0	OUTGROUP
HG00533.DG	HG00533	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
NA20771.DG	NA20771	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
NA20772.DG	NA20772	TSI	TSI	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
HG03127.DG	HG03127	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03129.DG	HG03129	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA12815.DG	NA12815	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
NA12827.DG	NA12827	CEU	CEU	OUTGROUP	Americas	T0	OUTGROUP
HG03115.DG	HG03115	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03117.DG	HG03117	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG01773.DG	HG01773	Spanish	Spanish	IBERIA	Iberia	T0	TARGET
HG01775.DG	HG01775	IBS	IBS	IBERIA	Iberia	T0	TARGET
HG02973.DG	HG02973	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02974.DG	HG02974	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG01956.DG	HG01956	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG01958.DG	HG01958	ACB	ACB	OUTGROUP	Other	T0	OUTGROUP
HG03297.DG	HG03297	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03298.DG	HG03298	ESN	ESN	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG00269.DG	HG00269	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG00271.DG	HG00271	FIN	FIN	EUROPE_CONTROL	Northern_Europe	T0	CONTROL
HG03882.DG	HG03882	ITU	ITU	OUTGROUP	South_Asia	T0	OUTGROUP
HG03884.DG	HG03884	STU	STU	OUTGROUP	South_Asia	T0	OUTGROUP
NA19780.DG	NA19780	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
NA19782.DG	NA19782	MXL	MXL	OUTGROUP	Americas	T0	OUTGROUP
HG02804.DG	HG02804	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG02805.DG	HG02805	GWD	GWD	WEST_AFRICA	West_Africa	T0	OUTGROUP
NA19084.DG	NA19084	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA19085.DG	NA19085	JPT	JPT	OUTGROUP	East_Asia	T0	OUTGROUP
NA19399.DG	NA19399	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
NA19401.DG	NA19401	LWK	LWK	EAST_AFRICA	East_Africa	T0	OUTGROUP
HG00704.DG	HG00704	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG00705.DG	HG00705	CHS	CHS	OUTGROUP	East_Asia	T0	OUTGROUP
HG03457.DG	HG03457	MSL	MSL	WEST_AFRICA	West_Africa	T0	OUTGROUP
HG03458.DG	HG03458	MSL	MSL	WEST_AFRICA	West_Africa	T0	OUTGROUP
