sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role
HG01060.DG	HG01060	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101664	PASS	T0	OUTGROUP
HG00276.DG	HG00276	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101650	PASS	T0	CONTROL
HG00277.DG	HG00277	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101646	PASS	T0	CONTROL
HG02396.DG	HG02396	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101620	PASS	T0	OUTGROUP
HG02397.DG	HG02397	CDX	CDX	OUTGROUP	East_Asia	China	22.0	100.8	0	0	1101613	PASS	T0	OUTGROUP
HG01168.DG	HG01168	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101666	PASS	T0	OUTGROUP
HG01170.DG	HG01170	PUR	PUR	OUTGROUP	Other	Puerto Rico	18.406389	-66.063889	0	0	1101643	PASS	T0	OUTGROUP
HG00351.DG	HG00351	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101652	PASS	T0	CONTROL
HG00353.DG	HG00353	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101675	PASS	T0	CONTROL
HG03372.DG	HG03372	ESN	ESN	WEST_AFRICA	West_Africa	Nigeria	6.5	6.0	0	0	1101410	PASS	T0	OUTGROUP
HG03376.DG	HG03376	MSL	MSL	WEST_AFRICA	West_Africa	Sierra Leone	7.875833	-11.190833	0	0	1101435	PASS	T0	OUTGROUP
HG00380.DG	HG00380	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101663	PASS	T0	CONTROL
HG00381.DG	HG00381	FIN	FIN	EUROPE_CONTROL	Northern_Europe	Finland			0	0	1101667	PASS	T0	CONTROL
NA12342.DG	NA12342	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101649	PASS	T0	OUTGROUP
NA12347.DG	NA12347	CEU	CEU	OUTGROUP	Americas	USA	40.760833	-111.89111	0	0	1101642	PASS	T0	OUTGROUP
